"Position";"COUNT(*)";"AVG(rssi1)";"AVG(rssi2)";"AVG(rssi3)";"STD(rssi1)";"STD(rssi2)";"STD(rssi3)";"MIN(rssi1)";"MIN(rssi2)";"MIN(rssi3)";"MAX(rssi1)";"MAX(rssi2)";"MAX(rssi3)";"VARIANCE(rssi1)";"VARIANCE(rssi2)";"VARIANCE(rssi3)"
"V1 RSSI1";"3515";"-31.5329";"-75.8191";"-83.6657";"0.9169";"4.2471";"1.2224";"-34";"-88";"-94";"-30";"-69";"-79";"0.8407";"18.0378";"1.4942"
"V1 RSSI2";"1255";"-74.9657";"-37.6717";"-78.9211";"3.0689";"4.9064";"2.3152";"-85";"-97";"-88";"-67";"-36";"-63";"9.4179";"24.0723";"5.3603"
"V1 RSSI3";"3682";"-69.0823";"-77.1008";"-52.6298";"5.4930";"6.5063";"2.6421";"-82";"-102";"-69";"-57";"-68";"-45";"30.1733";"42.3323";"6.9806"
"V1 Mitte";"2039";"-72.5032";"-77.7528";"-62.6842";"2.2584";"5.2678";"1.8951";"-92";"-98";"-73";"-63";"-66";"-47";"5.1004";"27.7496";"3.5913"
"V1 4. Ecke";"2015";"-76.0179";"-76.7469";"-80.6839";"1.1761";"5.5175";"3.7174";"-85";"-101";"-87";"-73";"-69";"-73";"1.3833";"30.4431";"13.8192"
"V1 Zwischen 2+3";"1435";"-66.6049";"-75.8655";"-80.5261";"2.1901";"2.4025";"3.4199";"-76";"-91";"-91";"-58";"-72";"-74";"4.7965";"5.7722";"11.6960"
"V1 Zwischen 1+3";"1844";"-55.6215";"-73.2278";"-61.9669";"0.7855";"1.9190";"1.0820";"-65";"-81";"-65";"-53";"-67";"-59";"0.6170";"3.6824";"1.1708"
"V2 Zwischen 2+3";"2417";"-72.8842";"-66.3873";"-69.7464";"4.5138";"0.8537";"1.0379";"-86";"-68";"-72";"-65";"-65";"-67";"20.3747";"0.7288";"1.0772"
"V2 Zwischen 1+3";"2884";"-54.3190";"-82.9806";"-60.2680";"2.7174";"5.0227";"0.7926";"-63";"-95";"-62";"-52";"-77";"-58";"7.3844";"25.2271";"0.6282"
"V2 Mitte";"2998";"-69.6568";"-71.7385";"-69.3422";"3.8120";"5.6945";"1.5931";"-83";"-92";"-76";"-64";"-68";"-66";"14.5316";"32.4273";"2.5380"
"Quadrat RSSI1";"3104";"-36.9572";"-75.2999";"-83.4794";"0.9581";"1.6409";"5.6240";"-38";"-80";"-100";"-35";"-70";"-76";"0.9179";"2.6926";"31.6297"
"Quadrat RSSI2";"4058";"-78.5899";"-41.2994";"-79.5278";"2.8948";"2.2111";"4.9180";"-87";"-44";"-89";"-73";"-34";"-71";"8.3799";"4.8889";"24.1866"
"Quadrat RSSI3";"2821";"-71.3183";"-73.6257";"-46.9762";"2.5736";"4.8417";"1.2360";"-83";"-83";"-49";"-67";"-67";"-43";"6.6232";"23.4423";"1.5276"
"Quadrat Zwischen 1+3";"2046";"-60.6432";"-75.6632";"-58.4379";"1.2787";"0.9283";"0.8941";"-66";"-78";"-60";"-57";"-71";"-56";"1.6352";"0.8617";"0.7994"
"Quadrat Zwischen 2+3";"2767";"-69.4366";"-66.5978";"-58.8428";"6.2744";"1.5309";"0.8353";"-85";"-75";"-61";"-60";"-62";"-56";"39.3678";"2.3438";"0.6977"
